dataset	lang	runtime_bank	lm	vllm_cadence_sec	retriever_input_span_sec	lookback_sec	streamlaal_sec	rag_calls	rag_mean_ms	rag_median_ms	rag_p90_ms	rag_p95_ms	rag_mean_rtf_pct	rag_median_rtf_pct	rag_p90_rtf_pct	runtime_jsonl	eval_results_tsv
Medicine	zh	raw	1	0.96	2.88	1.92	1.1401	14315	53.644	36.957	63.903	156.114	5.5879	3.8497	6.6566	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/runtime_omni_vllm_maxsim_rag_1779590694_pid345153.jsonl	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv
Medicine	zh	raw	2	1.92	3.84	1.92	1.7724	7159	63.977	42.345	90.663	244.947	3.3322	2.2055	4.7220	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/runtime_omni_vllm_maxsim_rag_1779590693_pid345260.jsonl	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv
Medicine	zh	raw	3	2.88	4.80	1.92	2.3205	4774	68.892	42.560	150.117	268.103	2.3921	1.4778	5.2124	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/runtime_omni_vllm_maxsim_rag_1779590691_pid343474.jsonl	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv
Medicine	zh	raw	4	3.84	5.76	1.92	2.8217	3581	58.286	43.645	65.358	148.633	1.5179	1.1366	1.7020	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/runtime_omni_vllm_maxsim_rag_1779591220_pid636415.jsonl	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv
