lm	tagged_BLEU	notag_BLEU	delta_notag_minus_tagged_BLEU	tagged_StreamLAAL	notag_StreamLAAL	delta_notag_minus_tagged_StreamLAAL	tagged_StreamLAAL_CA	notag_StreamLAAL_CA	delta_notag_minus_tagged_StreamLAAL_CA	tagged_TERM_ACC	notag_TERM_ACC	delta_notag_minus_tagged_TERM_ACC	tagged_REAL_TERM_ADOPT	notag_REAL_TERM_ADOPT	delta_notag_minus_tagged_REAL_TERM_ADOPT	tagged_TERM_FCR	notag_TERM_FCR	delta_notag_minus_tagged_TERM_FCR
1	43.865190	45.344621	+1.479431	1175.760877	1274.434682	+98.673805	1960.048061	1740.200978	-219.847082	0.886500	0.849400	-0.037100	0.918772	0.871122	-0.047650	0.158537	0.097561	-0.060976
2	48.792084	48.917201	+0.125117	1821.528351	1857.241191	+35.712840	2802.990345	2467.035463	-335.954882	0.889900	0.853900	-0.036000	0.918050	0.857458	-0.060592	0.109929	0.074468	-0.035461
3	50.814953	49.959509	-0.855444	2347.325215	2361.046268	+13.721053	3274.345032	3142.979220	-131.365812	0.907900	0.867400	-0.040500	0.917201	0.877064	-0.040137	0.059006	0.071429	+0.012423
4	50.742098	49.670052	-1.072046	2797.580508	2749.552745	-48.027763	3977.784303	3652.093772	-325.690531	0.898900	0.848300	-0.050600	0.923739	0.857716	-0.066023	0.082621	0.065527	-0.017094
mean	48.553581	48.472846	-0.080736	2035.548738	2060.568721	+25.019984	3003.791935	2750.577358	-253.214577	0.895800	0.854750	-0.041050	0.919441	0.865840	-0.053601	0.102523	0.077246	-0.025277
