lang	lm	gold_occurrences	exact_correct	exact_term_acc_pct	retrieved_on_time_n	retrieved_on_time_correct	p_correct_given_on_time_pct	retrieved_late_n	retrieved_late_correct	p_correct_given_late_pct	never_retrieved_n	never_retrieved_correct	p_correct_given_never_pct	exact_miss_retriever_miss	exact_miss_retrieved_late	exact_miss_retrieved_on_time_not_exact	morphology_aware_correct	morphology_aware_acc_pct	draft_semantic_correct	draft_semantic_acc_pct
de	2	971	809	83.3162	727	626	86.1073	163	135	82.8221	81	48	59.2593	33	28	101	859	88.4655	941	96.9104
zh	2	1173	1059	90.2813	868	805	92.7419	196	176	89.7959	109	78	71.5596	31	20	63	N/A	N/A	N/A	N/A
