lang	configured_rate	achieved_replacement_rate	retrieval_precision_final	retrieval_recall_final	TERM_ACC_pct	BLEU	XCOMET_XXL_x100	StreamLAAL_ms	delta_TERM_ACC_points	delta_BLEU	delta_XCOMET_XXL_x100	source_run	corruption_seed
zh	0.00	0.0000000000	0.6492226014	0.2340716434	90.00	47.8779678426	83.6275029609	1814.3394195624	0.00	0.0000000000	0.0000000000	primary	20260711
zh	0.25	0.2616822430	0.4793325749	0.1728192508	88.09	48.1366424628	83.0282231936	1794.6783050759	-1.91	0.2586746203	-0.5992797673	primary	20260711
zh	0.50	0.5058411215	0.3208191126	0.1156685808	85.73	48.3309577985	82.6075118799	1791.5663839001	-4.27	0.4529899559	-1.0199910810	primary	20260711
de	0.00	0.0000000000	0.6492226014	0.2340716434	83.10	30.8688570252	83.9663436111	1647.7116155852	0.00	0.0000000000	0.0000000000	primary	20260711
de	0.25	0.2827102804	0.4656806978	0.1678971835	79.79	31.0771976821	83.2139996700	1666.1538308570	-3.31	0.2083406569	-0.7523439411	primary	20260711
de	0.50	0.5227803738	0.3098217672	0.1117035822	75.51	31.5835108609	83.4955308395	1654.6732643303	-7.59	0.7146538357	-0.4708127716	primary	20260711
ja	0.00	0.0000000000	0.6495041953	0.2337038562	84.57	29.8887450496	70.3790537217	2231.1076563413	0.00	0.0000000000	0.0000000000	fresh_corruption_mask	20260712
ja	0.25	0.2431004110	0.4916094584	0.1768903527	82.77	28.7165117413	68.4168425826	2207.9463495660	-1.80	-1.1722333083	-1.9622111391	fresh_corruption_mask	20260712
ja	0.50	0.5026423958	0.3230358505	0.1162343900	78.40	27.7169558596	67.1366534427	2325.1027114284	-6.17	-2.1717891900	-3.2424002790	fresh_corruption_mask	20260712
