dataset	method	lang	lm	talks	segments	xcomet_mean	xcomet_mean_x100	xcomet_talk_macro_mean	model_id	model_revision	scoring_config_sha256	instances_log_sha256
acl_tagged_raw	RASST	ja	3	5	468	0.7578508853	75.7850885320	0.7556932646	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	2c4c25f3c8936303c43a24e4942c43641a19c3b02320b2636c14e66665df95fd
acl_tagged_raw	RASST	ja	4	5	468	0.7764698653	77.6469865257	0.7732489663	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	3220c4e37b120dacaa1dae80065631bac54ad39ee2c171c5023e4c56b36e1d39
acl_tagged_raw	RASST	zh	1	5	468	0.7811825977	78.1182597654	0.7788594004	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	823a86f4d4f882c0b9ecd3659bbadc1f50f2c163c0d527ec9fb496d6fea71740
acl_tagged_raw	RASST	zh	2	5	468	0.8234653954	82.3465395400	0.8209781350	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	e04eff40821b9d54fafdcb95c2c1cbc11e6ef251c35825e21d664e0fd5a755a7
acl_tagged_raw	RASST	zh	3	5	468	0.8510496726	85.1049672589	0.8489481383	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	a43b5715489a41bdb1e88c45ff737104bf991e14d555f77e1fcc13a6894723b9
acl_tagged_raw	RASST	zh	4	5	468	0.8437427809	84.3742780929	0.8425872260	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	e3c75681642f44c3ae5b2d770d473f1347bad84205f6e0d062e4b6601dd2d827
medicine_hardraw	InfiniSST	de	1	5	1437	0.7644106817	76.4410681691	0.7614939051	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	2d93fb2590c59b9ea9735dd81b4a25bdab05b6e5b3ced94a0fa1a09484fac8b0
medicine_hardraw	InfiniSST	de	2	5	1437	0.7871020436	78.7102043618	0.7855728991	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	070bfbd2cb0b156f3ce00947a6c84ab9af8d91abf0fc4b6980aa2674a250e7e5
medicine_hardraw	InfiniSST	de	3	5	1437	0.7836947244	78.3694724439	0.7820453814	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	551717f09af992ae31c35b559ddf2cbfba20d1c64627337c0677732b05e0a758
medicine_hardraw	InfiniSST	de	4	5	1437	0.7864331029	78.6433102904	0.7884227029	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	9c0348f82e503cc5f26815daf84a2d5251b582bef420b2fc0c8c7122ff6c66fa
medicine_hardraw	RASST	de	1	5	1437	0.7087794442	70.8779444157	0.6977247114	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	bd5be64ddd2447683d4f93d0af603560ac5f5ab4ae9b9327a194b47d06d36eae
medicine_hardraw	RASST	de	2	5	1437	0.7750684099	77.5068409871	0.7760957425	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	e651781d57f9a4d9a7b08d1708765633c9f79dcd6df98ffcb57b6b8b1d169cde
medicine_hardraw	RASST	de	3	5	1437	0.7677856296	76.7785629643	0.7618408900	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	e400aa4b5e871ff8954328a82aefd8ae70202a9426ef3a350860db5058d395fa
medicine_hardraw	RASST	de	4	5	1437	0.7431442395	74.3144239466	0.7490181615	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	220b24dde23195717f340ab8399a7b810f6eeea4ce1df147970b689c0d0cba16
