dataset	method	lang	lm	talks	segments	xcomet_mean	xcomet_mean_x100	xcomet_talk_macro_mean	model_id	model_revision	scoring_config_sha256	instances_log_sha256
acl_tagged_raw	InfiniSST	ja	1	5	468	0.6325607459	63.2560745885	0.6327761876	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	8961483dc640efc17d87ad5c26231ed6bf46e73bc07820f5236039a957c853fe	92c58e0591fb30caee8d260d685df137b29193b1a98a25f50f60236f8bad5ed3
acl_tagged_raw	RASST	ja	1	5	468	0.5915267932	59.1526793158	0.5894978307	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	8961483dc640efc17d87ad5c26231ed6bf46e73bc07820f5236039a957c853fe	ad0e1bf45c3fbf108bd22affe645f61306cbf39cc798c4325afacabd17fab57c
acl_tagged_raw	RASST-lm1-curriculum	ja	1	5	468	0.6112419750	61.1241974971	0.6064583768	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	8961483dc640efc17d87ad5c26231ed6bf46e73bc07820f5236039a957c853fe	59d9ddaed5a55b0c2caa62a03fc446d72b0190b0f2c14a821db51c4f3627b0aa
