language	term_type	occurrences	rasst_correct	rasst_accuracy_pct	baseline_correct	baseline_accuracy_pct	delta_percentage_points	gain_rate_pct	loss_rate_pct	both_wrong_rate_pct	share_of_language_gains_pct	share_of_language_losses_pct	gain	loss	both_correct	both_wrong
de	acronym_or_symbolic_name	113	96	84.9558	57	50.4425	34.5133	38.0531	3.5398	11.5044	17.9167	8.5106	43	4	53	13
de	multiword_expression	58	41	70.6897	17	29.3103	41.3793	43.1034	1.7241	27.5862	10.4167	2.1277	25	1	16	16
de	single_word_term	800	652	81.5000	522	65.2500	16.2500	21.5000	5.2500	13.2500	71.6667	89.3617	172	42	480	106
zh	acronym_or_symbolic_name	116	99	85.3448	59	50.8621	34.4828	38.7931	4.3103	10.3448	20.7373	17.2414	45	5	54	12
zh	multiword_expression	69	62	89.8551	50	72.4638	17.3913	20.2899	2.8986	7.2464	6.4516	6.8966	14	2	48	5
zh	single_word_term	988	890	90.0810	754	76.3158	13.7652	15.9919	2.2267	7.6923	72.8111	75.8621	158	22	732	76
ja	acronym_or_symbolic_name	114	95	83.3333	51	44.7368	38.5965	41.2281	2.6316	14.0351	18.8755	5.8824	47	3	48	16
ja	multiword_expression	65	50	76.9231	30	46.1538	30.7692	33.8462	3.0769	20.0000	8.8353	3.9216	22	2	28	13
ja	single_word_term	943	789	83.6691	655	69.4592	14.2100	19.0880	4.8780	11.4528	72.2892	90.1961	180	46	609	108
all	acronym_or_symbolic_name	343	290	84.5481	167	48.6880	35.8601	39.3586	3.4985	11.9534	19.1218	9.4488	135	12	155	41
all	multiword_expression	192	153	79.6875	97	50.5208	29.1667	31.7708	2.6042	17.7083	8.6402	3.9370	61	5	92	34
all	single_word_term	2731	2331	85.3534	1931	70.7067	14.6466	18.6745	4.0278	10.6188	72.2380	86.6142	510	110	1821	290
