dataset	method	lang	lm	talks	segments	xcomet_mean	xcomet_mean_x100	xcomet_talk_macro_mean	model_id	model_revision	scoring_config_sha256	instances_log_sha256
medicine_hardraw	InfiniSST	de	1	5	1437	0.7338189745	73.3818974463	0.7303568568	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a6c000a72eca59f832a3ae15e6fbbdc9135a0207edc43acf80ba15b74e5ad0cb	866bbc2a771ff5b47c4c3cf19c689a839a7d34b83f0e5c90646ceb4dea0d08ca
medicine_hardraw	InfiniSST	de	2	5	1437	0.7848381430	78.4838143023	0.7860727576	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a6c000a72eca59f832a3ae15e6fbbdc9135a0207edc43acf80ba15b74e5ad0cb	ad191398ff2d4ab514f575820daf36230ffbec057f88144a488ebf4eef9962e3
medicine_hardraw	InfiniSST	de	3	5	1437	0.7881747982	78.8174798242	0.7872050759	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a6c000a72eca59f832a3ae15e6fbbdc9135a0207edc43acf80ba15b74e5ad0cb	69c3bb1e2d2fbdb856af7322f73ac9587bafd5d8b9cd6f2f500bcb021fe2d6c4
medicine_hardraw	RASST	de	1	5	1437	0.7087794437	70.8779443701	0.6977247105	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a6c000a72eca59f832a3ae15e6fbbdc9135a0207edc43acf80ba15b74e5ad0cb	bd5be64ddd2447683d4f93d0af603560ac5f5ab4ae9b9327a194b47d06d36eae
medicine_hardraw	RASST	de	2	5	1437	0.7750684100	77.5068410036	0.7760957425	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a6c000a72eca59f832a3ae15e6fbbdc9135a0207edc43acf80ba15b74e5ad0cb	e651781d57f9a4d9a7b08d1708765633c9f79dcd6df98ffcb57b6b8b1d169cde
medicine_hardraw	RASST	de	3	5	1437	0.7677856296	76.7785629601	0.7618408899	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a6c000a72eca59f832a3ae15e6fbbdc9135a0207edc43acf80ba15b74e5ad0cb	e400aa4b5e871ff8954328a82aefd8ae70202a9426ef3a350860db5058d395fa
