dataset	method	lang	lm	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	source_type	source_path	event_id	wandb_run_id	status	note
medicine_hardraw	InfiniSST	de	1	22.8060	1295.5148	1731.9854	0.4297	278	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm1/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	de	2	26.0778	1874.3605	2293.5569	0.5116	331	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm2/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	de	3	26.7200	2449.6911	3112.0100	0.5240	339	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm3/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	de	4	28.1365	2913.2500	3354.7920	0.5641	365	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm4/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	ja	1	19.8868	1576.3450	2010.4034	0.3102	201	648	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm1/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	ja	2	24.6641	2355.0818	2778.6941	0.3472	225	648	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm2/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	ja	3	25.1361	2827.8894	3488.1405	0.4198	272	648	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm3/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	ja	4	26.6835	3437.6181	3922.6420	0.4028	261	648	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm4/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
