experiment	phase	method	runtime_glossary	eval_glossary	lm	status	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	notes	output_path
acl_paper_extracted_union_zh_20260524T1545	baseline	origin_norag	raw	raw	1	completed	40.634184	1122.509515	1752.410928	0.690800	181	262	completed baseline result from lm1 Aries rerun eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/acl_paper_extracted_union_zh_20260524T1545_aclpp_union_zh_origin_newv9_hn1024_m80/origin_norag/zh/daclpp_origin_norag_m80_lm1_k0_th0_gacl6060_paper_extracted_union_raw_zh/eval_results.tsv
acl_paper_extracted_union_zh_20260524T1545	baseline	origin_norag	raw	raw	2	completed	45.224978	1650.933700	2388.962762	0.763400	200	262	completed baseline result from eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/acl_paper_extracted_union_zh_20260524T1545_aclpp_union_zh_origin_newv9_hn1024_m80/origin_norag/zh/daclpp_origin_norag_m80_lm2_k0_th0_gacl6060_paper_extracted_union_raw_zh/eval_results.tsv
acl_paper_extracted_union_zh_20260524T1545	baseline	origin_norag	raw	raw	3	completed	47.346936	2122.509751	2980.768631	0.816800	214	262	completed baseline result from eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/acl_paper_extracted_union_zh_20260524T1545_aclpp_union_zh_origin_newv9_hn1024_m80/origin_norag/zh/daclpp_origin_norag_m80_lm3_k0_th0_gacl6060_paper_extracted_union_raw_zh/eval_results.tsv
acl_paper_extracted_union_zh_20260524T1545	baseline	origin_norag	raw	raw	4	completed	47.752782	2584.966333	3585.020999	0.797700	209	262	completed baseline result from eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/acl_paper_extracted_union_zh_20260524T1545_aclpp_union_zh_origin_newv9_hn1024_m80/origin_norag/zh/daclpp_origin_norag_m80_lm4_k0_th0_gacl6060_paper_extracted_union_raw_zh/eval_results.tsv
acl_paper_extracted_union_zh_20260524T1545	baseline	origin_norag	raw	raw	completed_mean	completed	45.239720	1870.229825	2676.790830	0.767176	804	1048	mean over completed lm1-lm4; TERM_ACC is micro 804/1048	N/A
acl_paper_extracted_union_zh_20260524T1545	rasst	newv9_hn1024	raw	raw	all	not_started	N/A	N/A	N/A	N/A	N/A	N/A	baseline phase failed before RASST workers launched	N/A
acl_paper_extracted_union_zh_20260524T1545	rasst	newv9_hn1024	gs1k	raw	all	not_started	N/A	N/A	N/A	N/A	N/A	N/A	baseline phase failed before RASST workers launched	N/A
acl_paper_extracted_union_zh_20260524T1545	rasst	newv9_hn1024	gs10k	raw	all	not_started	N/A	N/A	N/A	N/A	N/A	N/A	baseline phase failed before RASST workers launched	N/A
