variant	job_id	glossary_entries	BLEU	BLEU_delta_vs_multiscale	MASKED_TERMS_BLEU	StreamLAAL_ms	StreamLAAL_delta_vs_multiscale_ms	StreamLAAL_CA_ms	TERM_ACC	TERM_CORRECT	TERM_TOTAL
multiscale	47040	238	47.8779678425533	0.0000000000000	40.993520324328564	1814.3394195624276	0.0000000000000	2566.7625283799507	0.9000	801	890
largest_infer	47045	238	47.826074991345116	-0.051892851208184	41.858705797458654	1868.3689269204735	54.0295073580459	2563.4492011494153	0.8472	754	890
largest_train	47046	238	45.79602506087964	-2.081942781673660	40.76445476831734	1863.2034010744476	48.8639815120200	2435.165577927379	0.7393	658	890
