lm	config_id	max_new_tokens	max_cache_seconds	keep_cache_seconds	max_cache_chunks	keep_cache_chunks	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	REAL_TERM_ADOPT	TERM_FCR	sum_word_ratio	sum_char_ratio	source_event	eval_results	summary_tsv
1	full5_lm1_mt20_c40k20_ch8k4	20	40	20	8	4	23.410484333001026	1047.3306385145245	995.1144933388273	0.7968	745	935	0.822289	0.198251	1.034393	1.010066	20260525T1048__simuleval__tagged_acl_de_cap16_shortcache_lm123	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_shortcache_lm123_20260525T1048/full5_lm1_mt20_c40k20_ch8k4/de_retriever_cap16_shortcache_lm1_mt20/de/dtagacl_bv1_decap16_full5_lm1_mt20_c40k20_ch8k4_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_shortcache_lm123_20260525T1048/full5_lm1_mt20_c40k20_ch8k4/de_retriever_cap16_shortcache_lm1_mt20/__summary__/summary_de_lm1.tsv
2	full5_lm2_mt40_c40k20_ch8k4	40	40	20	8	4	30.29528012772279	1641.653657238043	930.2461613290243	0.8503	795	935	0.874872	0.158038	0.989228	1.008788	20260525T1048__simuleval__tagged_acl_de_cap16_shortcache_lm123	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_shortcache_lm123_20260525T1048/full5_lm2_mt40_c40k20_ch8k4/de_retriever_cap16_shortcache_lm2_mt40/de/dtagacl_bv1_decap16_full5_lm2_mt40_c40k20_ch8k4_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_shortcache_lm123_20260525T1048/full5_lm2_mt40_c40k20_ch8k4/de_retriever_cap16_shortcache_lm2_mt40/__summary__/summary_de_lm2.tsv
3	full5_lm3_mt60_c40k20_ch8k4	60	40	20	8	4	31.79968576214227	2237.8185959359785	1178.7784609305354	0.8588	803	935	0.878855	0.149100	0.951979	0.999142	20260525T1048__simuleval__tagged_acl_de_cap16_shortcache_lm123	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_shortcache_lm123_20260525T1048/full5_lm3_mt60_c40k20_ch8k4/de_retriever_cap16_shortcache_lm3_mt60/de/dtagacl_bv1_decap16_full5_lm3_mt60_c40k20_ch8k4_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_shortcache_lm123_20260525T1048/full5_lm3_mt60_c40k20_ch8k4/de_retriever_cap16_shortcache_lm3_mt60/__summary__/summary_de_lm3.tsv
4	full5_mt80_c40k20_ch8k4	80	40	20	8	4	33.482003332358964	2745.098537273287	819.5417415693659	0.8674	811	935	0.886488	0.123426	0.942635	0.996726	20260525T1037__analysis__tagged_acl_de_lm4_decode_cache_probe_reference	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_lm4_decode_cache_probe_20260525T103743_full5_shortcache_full5_mt80_c40k20_ch8k4/de_retriever_cap16_lm4_full5_mt80_c40k20_ch8k4/de/dtagacl_bv1_decap16_full5_mt80_c40k20_ch8k4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_lm4_decode_cache_probe_20260525T103743_full5_shortcache_full5_mt80_c40k20_ch8k4/de_retriever_cap16_lm4_full5_mt80_c40k20_ch8k4/__summary__/summary_de_lm4.tsv
