setting	lm	empty_term_map_policy	max_new_tokens	max_cache_seconds	keep_cache_seconds	max_cache_chunks	keep_cache_chunks	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	REAL_TERM_ADOPT	TERM_FCR	instances_log_rows	instances_strip_term_log_rows	eval_results	summary_tsv	note
newv9_mfa_npfilter_lexexact_none_block_prior	1	none_block	80	80	60	16	8	26.24872577577687	1015.7327002742376	1302.5656185254127	0.8428	788	935	0.868252	0.215743	5	5	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_mfa_npfilter_hn1024_tau078_raw_de_lm1to4_20260524T1738_tagacl_newv9_mfa_npfilter_de_batch_mt80/new_v9_mfa_npfilter_lexexact_oldnewv3_de_r32a64_hn1024_tau078_same_lm_batch_v1/de/dtagacl_bv1_mfa_np_hn1024_tau078_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/wordfix_eval/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_mfa_npfilter_hn1024_tau078_raw_de_lm1to4_20260524T1738_tagacl_newv9_mfa_npfilter_de_batch_mt80/new_v9_mfa_npfilter_lexexact_oldnewv3_de_r32a64_hn1024_tau078_same_lm_batch_v1/__summary__/summary_de_raw_lm1to4_same_lm_batch_v1_max80_wordfix.tsv	prior best RASST de lm1 row; training-matched empty term-map prompt shape
newv9_mfa_npfilter_lexexact_omit_shortcache	1	omit	80	40	20	8	4	25.60604495651362	1020.6399238038274	1023.8905169468571	0.8471	792	935	0.879797	0.241983	5	5	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_lm4_decode_cache_probe_20260525T112334_newv9_mfa_npfilter_de_lm1_omit_shortcache_newv9_mfa_lm1_mt80_c40k20_ch8k4_omit/newv9_mfa_npfilter_lexexact_de_lm1_omit_shortcache_hn1024_tau078/de/dtagacl_bv1_decap16_newv9_mfa_lm1_mt80_c40k20_ch8k4_omit_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_lm4_decode_cache_probe_20260525T112334_newv9_mfa_npfilter_de_lm1_omit_shortcache_newv9_mfa_lm1_mt80_c40k20_ch8k4_omit/newv9_mfa_npfilter_lexexact_de_lm1_omit_shortcache_hn1024_tau078/__summary__/summary_de_lm1.tsv	inference-side omit/short-cache ablation; lower BLEU, slightly higher TERM_ACC
