method	config_id	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	REAL_TERM_ADOPT	TERM_FCR	status	note	source
InfiniSST/no-RAG verified	lm4_rerun	33.3008	NA	NA	NA	NA	NA	NA	NA	baseline_gate	verified no-RAG BLEU target	documents/code/simuleval/manifests/2026/05/20260524T160830__simuleval__tagged_acl_origin_norag_de_lm4_raw_rerun.json
TM-SFT gtwrap + HN1024 default-cache	lm4_max80_default_cache	32.26812507386915	2539.9186	1599.2362	0.8727	816	935	NA	NA	fails_bleu_gate	older default-cache readout	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_de_hn1024_tau078_batch_20260525T0413_tagacl_tmsftgtwrap_de_hn1024_tau078_lm1to4_aries/tmsft_gttermwrap_exact_de_r32a32_ep4_hn1024_tau078_batch_max80/__summary__/summary_de_lm1to4_manual.tsv
Cap16 SLM + HN1024 short-cache	full5_mt80_c40k20_ch8k4	33.482003332358964	2745.098537273287	819.5417415693659	0.8674	811	935	0.886488	0.123426	passes_bleu_gate	best known short-cache lm4 readout	documents/code/simuleval/reports/20260525_de_lm4_quick_decode_probe.tsv
TM-SFT gtwrap + HN1024 short-cache	tmsft_gtwrap_full5_mt80_c40k20_ch8k4	32.616559008572416	2596.2699629637004	684.9766557700916	0.8749	818	935	0.896856	0.163728	fails_bleu_gate	current probe; improves over default-cache but remains below no-RAG	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_lm4_decode_cache_probe_20260525T110028_tmsft_gtwrap_de_lm4_shortcache_taurus37_tmsft_gtwrap_full5_mt80_c40k20_ch8k4/tmsft_gtwrap_de_lm4_shortcache_hn1024_tau078/__summary__/summary_de_lm4.tsv
