dataset	lang	lm	tau0_BLEU	main_RASST_BLEU	delta_BLEU	tau0_StreamLAAL	main_RASST_StreamLAAL	delta_StreamLAAL	tau0_StreamLAAL_CA	main_RASST_StreamLAAL_CA	delta_StreamLAAL_CA	tau0_TERM_ACC	main_RASST_TERM_ACC	delta_TERM_ACC	tau0_TERM_CORRECT	main_RASST_TERM_CORRECT	tau0_TERM_TOTAL	main_RASST_TERM_TOTAL	tau0_TERM_FCR	tau0_SOURCE_TERM_SENT_FCR	tau0_event_id	main_RASST_event_id	tau0_source_path	main_RASST_source_path	note
acl_tagged_raw	zh	1	44.4827	44.4102	0.0725	1208.9626	1236.7205	-27.7579	2751.1240	1626.2782	1124.8458	0.8146	0.8539	-0.0393	725	760	890	890	0.1731	0.2991	20260526T0210__simuleval__tagged_acl_new_v9_hn1024_tau000_raw_zh_lm1to4_aries01_seq	20260524T1442__simuleval__tagged_acl_same_lm_batch_v1exact_hn1024_tau078_raw_zh_lm1_max256	/mnt/taurus/data2/jiaxuanluo/tagged_acl_new_v9_hn1024_tau000_raw_zh_lm1to4_20260526T0210_tagacl_newv9_hn1024_tau000_raw_zh_lm1to4_aries01_seq/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau000_readout/zh/dtagacl_new_v9_hn1024_tau000_lm1_k10_th0.0_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_hn1024_tau078_raw_zh_lm1_max256_20260524T1442_tagacl_same_lm_batch_v1exact_hn1024_tau078_raw_zh_lm1_max256_taurus45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078_same_lm_batch_v1_max256/zh/dtagacl_same_lm_batch_v1_hn1024_tau078_max256_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	tau0 uses HN1024 raw tagged ACL zh readout; main RASST is current main-result TSV row
acl_tagged_raw	zh	2	50.0070	49.6099	0.3971	1800.3524	1861.8699	-61.5175	2921.3701	2625.5644	295.8057	0.8787	0.8888	-0.0101	782	791	890	890	0.1453	0.2222	20260526T033545__simuleval__tagged_acl_new_v9_hn1024_tau000_raw_zh_lm234_aries4567_parallel	20260524T0522__simuleval__tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_aries4567	/mnt/taurus/data2/jiaxuanluo/tagged_acl_new_v9_hn1024_tau000_raw_zh_lm234_20260526T033545_tagacl_newv9_hn1024_tau000_raw_zh_lm234_aries4567_parallel/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau000_readout_parallel/zh/dtagacl_new_v9_hn1024_tau000_lm2_k10_th0.0_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	tau0 uses HN1024 raw tagged ACL zh readout; main RASST is current main-result TSV row
acl_tagged_raw	zh	3	50.4103	50.1545	0.2558	2255.1015	2342.6068	-87.5053	3416.1334	3362.6216	53.5118	0.8730	0.8989	-0.0259	777	800	890	890	0.1026	0.2115	20260526T033545__simuleval__tagged_acl_new_v9_hn1024_tau000_raw_zh_lm234_aries4567_parallel	20260524T0522__simuleval__tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_aries4567	/mnt/taurus/data2/jiaxuanluo/tagged_acl_new_v9_hn1024_tau000_raw_zh_lm234_20260526T033545_tagacl_newv9_hn1024_tau000_raw_zh_lm234_aries4567_parallel/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau000_readout_parallel/zh/dtagacl_new_v9_hn1024_tau000_lm3_k10_th0.0_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	tau0 uses HN1024 raw tagged ACL zh readout; main RASST is current main-result TSV row
acl_tagged_raw	zh	4	50.7109	50.8145	-0.1036	2736.4900	2785.5040	-49.0140	4057.2451	3922.4009	134.8442	0.8921	0.9000	-0.0079	794	801	890	890	0.1154	0.2286	20260526T034148__simuleval__tagged_acl_new_v9_hn1024_tau000_raw_zh_lm4_aries23_parallel	20260524T0555__simuleval__tagged_acl_new_v9_hn1024_tau078_raw_zh_lm4_aries45	/mnt/taurus/data2/jiaxuanluo/tagged_acl_new_v9_hn1024_tau000_raw_zh_lm4_20260526T034148_tagacl_newv9_hn1024_tau000_raw_zh_lm4_aries23_parallel/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau000_readout_lm4_aries23/zh/dtagacl_new_v9_hn1024_tau000_lm4_k10_th0.0_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm4_20260524T0555_tagacl_newv9_hn1024_tau078_raw_zh_lm4_aries45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	tau0 uses HN1024 raw tagged ACL zh readout; main RASST is current main-result TSV row
