lm	row_type	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM	delta_BLEU_vs_pre_refresh_main	delta_TERM_correct_vs_pre_refresh_main	delta_BLEU_vs_current_main	delta_TERM_correct_vs_current_main	status	source_path	note
1	pre_refresh_main	21.6332	1495.6056	2159.8193	0.8170	768/940	0.0000	0	-2.2952	2	verified		main-result row before 20260526T031146 refresh; stale label was main_tsv_current in old compare TSV
1	old_serial_cache30_max40lm	23.7159	1451.9491	2119.2087	0.8170	768/940	2.0827	0	-0.2125	2	verified_serial		older serial/cache30 max40lm comparison row
1	new_promptfix_vllmaudio128	23.9284	1560.9685	2199.9266	0.8149	766/940	2.2952	-2	0.0000	0	verified_promptfix		verified serial promptfix eval output
1	current_main_result	23.9284	1560.9685	2199.9266	0.8149	766/940	2.2952	-2	0.0000	0	verified	/mnt/data1/jiaxuanluo/tagged_acl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_20260526T014004_tagged_acl_ja_lm1_serial_promptfix_cache30_vllmaudio128_max40lm_taurus/ja/dtagacl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	current figure_01 main-result TSV row after JA promptfix refresh
2	pre_refresh_main	31.1507	2196.1838	2941.7484	0.8670	815/940	0.0000	0	-0.1455	4	verified		main-result row before 20260526T031146 refresh; stale label was main_tsv_current in old compare TSV
2	old_serial_cache30_max40lm	31.0807	2230.8914	3032.2371	0.8500	799/940	-0.0700	-16	-0.2155	-12	verified_serial		older serial/cache30 max40lm comparison row
2	new_promptfix_vllmaudio128	31.2962	2200.9376	2951.4113	0.8628	811/940	0.1455	-4	-0.0000	0	verified_promptfix		verified serial promptfix eval output
2	current_main_result	31.2962	2200.9376	2951.4113	0.8628	811/940	0.1455	-4	0.0000	0	verified	/mnt/data1/jiaxuanluo/tagged_acl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_20260526T014004_tagged_acl_ja_lm2_serial_promptfix_cache30_vllmaudio128_max40lm_taurus/ja/dtagacl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	current figure_01 main-result TSV row after JA promptfix refresh
