method	lang	lm	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	REAL_TERM_ADOPT	TERM_FCR	instances_log_rows	instances_strip_term_log_rows	eval_results	instances_log	instances_strip_term_log
TM-SFT exact GT-term wrap + HN1024	ja	1	9.696265973846012	703.2383300902663	1909.2355656071995	0.7043	662	940	0.756429	0.233333	5	5	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm1_hn1024_tau078_batch_taurus01_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm1_hn1024_tau078_batch_taurus01_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.log	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm1_hn1024_tau078_batch_taurus01_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
TM-SFT exact GT-term wrap + HN1024	ja	2	27.982812370937125	2061.694801376699	2455.2662578050945	0.8809	828	940	0.902002	0.175325	5	5	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0412_tagacl_tmsft_gtwrap_ja_lm2_hn1024_tau078_batch_taurus01_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0412_tagacl_tmsft_gtwrap_ja_lm2_hn1024_tau078_batch_taurus01_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.log	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0412_tagacl_tmsft_gtwrap_ja_lm2_hn1024_tau078_batch_taurus01_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
TM-SFT exact GT-term wrap + HN1024	ja	3	31.64886614699232	2616.500045721508	2441.1895145782646	0.8543	803	940	0.896156	0.163205	5	5	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm3_hn1024_tau078_batch_taurus23_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm3_hn1024_tau078_batch_taurus23_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.log	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm3_hn1024_tau078_batch_taurus23_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
TM-SFT exact GT-term wrap + HN1024	ja	4	17.29647867551705	2036.821917930844	1451.5090033770525	0.7862	739	940	0.800548	0.148760	5	5	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm4_hn1024_tau078_batch_taurus45_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm4_hn1024_tau078_batch_taurus45_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.log	/mnt/gemini/data1/jiaxuanluo/tagged_acl_tmsft_gttermwrap_exact_ja_hn1024_tau078_batch_20260525T0448_tagacl_tmsft_gtwrap_ja_lm4_hn1024_tau078_batch_taurus45_eager/tmsft_gttermwrap_exact_ja_r32a32_ep4_hn1024_tau078_batch_max80/ja/dtagacl_bv1_tmsft_gtwrap_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
