setting_id	label	slm	retriever	term_training	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	source_class	source_path	event_id	wandb_run_id	status	note
offline_st_reference	Offline ST	offline cascade	none	none	35.7641	NA	NA	0.7057	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference	Offline reference has no streaming latency; included only as an upper-reference point.
old_infinisst_prompt_row	Old InfiniSST row	origin de SLM	none	none	31.6370	1773.0000	2273.0000	0.6744	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			old_unreproduced_reference	Historical user-supplied row; not reproduced by the same-lm batch rerun.
origin_norag_rerun	InfiniSST/no-RAG rerun	origin de SLM	none	none	30.0676	1541.8293	1264.7621	0.6364	595	935	verified_manifest	/mnt/gemini/data1/jiaxuanluo/tagged_acl_origin_norag_de_lm2_batch_max80_aries01_20260524T2200_tagacl_origin_norag_de_lm2_batch_max80_aries01/origin_norag_de_lm2_batch_max80/de/dtagacl_origin_norag_batch_max80_lm2_k0_th0.0_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	20260524T2200__simuleval__tagged_acl_origin_norag_de_lm2_batch_max80_aries01	gb313iyk	verified	Same-lm batch rerun on Aries GPU 0,1 with max_new_tokens=80.
origin_slm_hn1024	Origin SLM + HN1024	origin de SLM	HN1024 tau=0.78	none	30.8132	1604.7783	1299.0939	0.8225	769	935	verified_manifest	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_lm2_origin_hn1024_batch_20260524T2135_tagacl_de_lm2_origin_hn1024_batch/origin_de_bsz4_hn1024_tau078_batch_lm2/de/dtagacl_bv1_origin_hn1024_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	20260524T2135__simuleval__tagged_acl_origin_de_lm2_hn1024_batch	p21ne026	verified	No-TM-SFT original de SLM plus HN1024 retriever.
tm_sft_slm_hn1024	TM-SFT + HN1024	old TM-SFT de SLM	HN1024 tau=0.78	TM-SFT	31.1211	1618.2386	1350.2295	0.8353	781	935	verified_manifest	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_lm2_tmv4_hn1024_batch_20260524T2135_tagacl_de_lm2_tmv4_hn1024_batch/tmv4_de_bsz4_hn1024_tau078_batch_lm2/de/dtagacl_bv1_tmv4_hn1024_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	20260524T2135__simuleval__tagged_acl_tmv4_de_lm2_hn1024_batch	40i1fl5v	verified	Old TM-SFT de SLM plus HN1024 retriever.
clean_newv9_slm_hn1024	Clean SLM (RASST) + HN1024	clean NewV9 MFA/source-filtered de SLM	HN1024 tau=0.78	RASST	29.9264	1671.2547	1335.5140	0.8599	804	935	verified_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_mfa_npfilter_hn1024_tau078_raw_de_lm1to4_20260524T1738_tagacl_newv9_mfa_npfilter_de_batch_mt80/new_v9_mfa_npfilter_lexexact_oldnewv3_de_r32a64_hn1024_tau078_same_lm_batch_v1/de/dtagacl_bv1_mfa_np_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/wordfix_eval/eval_results.tsv	20260524T1738__simuleval__tagged_acl_new_v9_mfa_npfilter_lexexact_hn1024_tau078_raw_de_lm1to4_max80		verified	clean MFA/source-filtered de New V9, same-lm batch max_new_tokens=80; de word-boundary fixed
