lang	lm	rasst_inference_index	evaluation_glossary	rasst_BLEU	infinisst_BLEU	delta_BLEU	rasst_MASKED_TERMS_BLEU	infinisst_MASKED_TERMS_BLEU	delta_MASKED_TERMS_BLEU	rasst_StreamLAAL	infinisst_StreamLAAL	delta_StreamLAAL	rasst_TERM_ACC	rasst_TERM_CORRECT	infinisst_TERM_ACC	infinisst_TERM_CORRECT	TERM_TOTAL	delta_TERM_ACC_percentage_points
zh	2	paper_extracted_v1	tagged_raw_acl6060	46.3280	45.8268	0.5012	41.0132	40.7155	0.2977	1827.4995	1765.7196	61.7799	0.7787	693	0.7517	669	890	2.6966
ja	2	paper_extracted_v1	tagged_raw_acl6060	27.7656	27.7202	0.0455	25.0567	25.0201	0.0367	2107.8603	2291.1649	-183.3046	0.6532	614	0.6596	620	940	-0.6383
de	2	paper_extracted_v1	tagged_raw_acl6060	28.1247	30.2516	-2.1270	26.3229	28.9758	-2.6529	1624.4589	1759.0611	-134.6022	0.6973	652	0.6759	632	935	2.1390
